Date,Bank,Currency,Rate,PrevRate,Action
2022.12.15,SNB,CHF,1.00,0.50,HIKE
2022.12.21,ECB,EUR,2.50,2.00,HIKE
2023.01.25,BOC,CAD,4.50,4.25,HIKE
2023.02.01,FED,USD,4.75,4.50,HIKE
2023.02.02,BOE,GBP,4.00,3.50,HIKE
2023.02.07,RBA,AUD,3.35,3.10,HIKE
2023.02.08,ECB,EUR,3.00,2.50,HIKE
2023.02.22,RBNZ,NZD,4.75,4.25,HIKE
2023.03.07,RBA,AUD,3.60,3.35,HIKE
2023.03.20,SNB,CHF,1.50,1.00,HIKE
2023.03.22,FED,USD,5.00,4.75,HIKE
2023.03.22,ECB,EUR,3.50,3.00,HIKE
2023.03.23,BOE,GBP,4.25,4.00,HIKE
2023.04.05,RBNZ,NZD,5.25,4.75,HIKE
2023.05.02,RBA,AUD,3.85,3.60,HIKE
2023.05.03,FED,USD,5.25,5.00,HIKE
2023.05.04,ECB,EUR,3.75,3.50,HIKE
2023.05.11,BOE,GBP,4.50,4.25,HIKE
2023.05.24,RBNZ,NZD,5.50,5.25,HIKE
2023.06.06,RBA,AUD,4.10,3.85,HIKE
2023.06.07,BOC,CAD,4.75,4.50,HIKE
2023.06.21,ECB,EUR,4.00,3.75,HIKE
2023.06.22,BOE,GBP,5.00,4.50,HIKE
2023.06.22,SNB,CHF,1.75,1.50,HIKE
2023.07.12,BOC,CAD,5.00,4.75,HIKE
2023.07.26,FED,USD,5.50,5.25,HIKE
2023.08.02,ECB,EUR,4.25,4.00,HIKE
2023.08.03,BOE,GBP,5.25,5.00,HIKE
2023.09.14,ECB,EUR,4.50,4.25,HIKE
2023.11.08,RBA,AUD,4.35,4.10,HIKE
2024.03.19,BOJ,JPY,0.10,-0.10,HIKE
2024.03.21,SNB,CHF,1.50,1.75,CUT
2024.06.05,BOC,CAD,4.75,5.00,CUT
2024.06.06,ECB,EUR,4.25,4.50,CUT
2024.06.20,SNB,CHF,1.25,1.50,CUT
2024.07.24,BOC,CAD,4.50,4.75,CUT
2024.07.31,BOJ,JPY,0.25,0.10,HIKE
2024.08.01,BOE,GBP,5.00,5.25,CUT
2024.08.14,RBNZ,NZD,5.25,5.50,CUT
2024.09.04,BOC,CAD,4.25,4.50,CUT
2024.09.12,ECB,EUR,3.65,4.25,CUT
2024.09.18,FED,USD,5.00,5.50,CUT
2024.09.26,SNB,CHF,1.00,1.25,CUT
2024.10.09,RBNZ,NZD,4.75,5.25,CUT
2024.10.17,ECB,EUR,3.40,3.65,CUT
2024.10.23,BOC,CAD,3.75,4.25,CUT
2024.11.07,FED,USD,4.75,5.00,CUT
2024.11.07,BOE,GBP,4.75,5.00,CUT
2024.11.27,RBNZ,NZD,4.25,4.75,CUT
2024.12.11,BOC,CAD,3.25,3.75,CUT
2024.12.12,ECB,EUR,3.15,3.40,CUT
2024.12.12,SNB,CHF,0.50,1.00,CUT
2024.12.18,FED,USD,4.50,4.75,CUT
2025.01.24,BOJ,JPY,0.50,0.25,HIKE
2025.01.29,BOC,CAD,3.00,3.25,CUT
2025.01.30,ECB,EUR,2.90,3.15,CUT
2025.02.06,BOE,GBP,4.50,4.75,CUT
2025.02.18,RBA,AUD,4.10,4.35,CUT
2025.02.19,RBNZ,NZD,3.75,4.25,CUT
2025.03.06,ECB,EUR,2.65,2.90,CUT
2025.03.12,BOC,CAD,2.75,3.00,CUT
2025.03.20,SNB,CHF,0.25,0.50,CUT
2025.04.09,RBNZ,NZD,3.50,3.75,CUT
2025.04.17,ECB,EUR,2.40,2.65,CUT
2025.05.08,BOE,GBP,4.25,4.50,CUT
2025.05.21,RBA,AUD,3.85,4.10,CUT
2025.05.28,RBNZ,NZD,3.25,3.50,CUT
2025.06.05,ECB,EUR,2.15,2.40,CUT
2025.06.19,SNB,CHF,0.00,0.25,CUT
2025.08.07,BOE,GBP,4.00,4.25,CUT
2025.08.12,RBA,AUD,3.60,3.85,CUT
2025.08.20,RBNZ,NZD,3.00,3.25,CUT
2025.09.17,BOC,CAD,2.50,2.75,CUT
2025.09.18,FED,USD,4.25,4.50,CUT
2025.10.08,RBNZ,NZD,2.50,3.00,CUT
2025.10.29,FED,USD,4.00,4.25,CUT
2025.10.29,BOC,CAD,2.25,2.50,CUT
2025.11.26,RBNZ,NZD,2.25,2.50,CUT
2025.12.11,FED,USD,3.75,4.00,CUT
2025.12.18,BOE,GBP,3.75,4.00,CUT
2025.12.19,BOJ,JPY,0.75,0.50,HIKE
2026.02.03,RBA,AUD,3.85,3.60,HIKE
2026.03.17,RBA,AUD,4.10,3.85,HIKE
2026.05.06,RBA,AUD,4.35,4.10,HIKE
2026.06.11,ECB,EUR,2.40,2.15,HIKE
2026.06.16,BOJ,JPY,1.00,0.75,HIKE
